Date;Tair;RH;RRR
06.06.2016 18:00;7.5;88;2
06.06.2016 15:00;8.2;82;
06.06.2016 12:00;9.1;83;
06.06.2016 9:00;9.8;75;
06.06.2016 6:00;9;82;
06.06.2016 3:00;9.5;79;
06.06.2016 0:00;9.6;81;
05.06.2016 21:00;10.5;72;
05.06.2016 18:00;11.4;66;
05.06.2016 15:00;15.5;47;
05.06.2016 12:00;16.3;45;
05.06.2016 9:00;13.6;61;
05.06.2016 6:00;12.3;75;
05.06.2016 3:00;11.3;94;
05.06.2016 0:00;14.1;82;
04.06.2016 21:00;14.3;88;10
04.06.2016 18:00;15.8;88;10
04.06.2016 15:00;17.6;81;
04.06.2016 12:00;24.6;43;
04.06.2016 9:00;21;60;
04.06.2016 6:00;15.7;80;
04.06.2016 3:00;11.7;94;
04.06.2016 0:00;13.5;83;
03.06.2016 21:00;17;67;0.1
03.06.2016 18:00;20.5;49;0.1
03.06.2016 15:00;19.3;62;
03.06.2016 12:00;21.7;42;
03.06.2016 9:00;19.2;47;
03.06.2016 6:00;14.7;73;
03.06.2016 3:00;13.1;72;
03.06.2016 0:00;15.7;58;
02.06.2016 21:00;19.2;38;
02.06.2016 18:00;21.1;29;
02.06.2016 15:00;20.8;28;
02.06.2016 12:00;19.5;29;
02.06.2016 9:00;20.4;30;
02.06.2016 6:00;12.2;80;
02.06.2016 3:00;9.7;79;
02.06.2016 0:00;10.5;72;
01.06.2016 21:00;16.6;38;
01.06.2016 18:00;19.3;30;
01.06.2016 15:00;20.2;30;
01.06.2016 12:00;17.6;33;
01.06.2016 9:00;16.5;39;
01.06.2016 6:00;11;67;
01.06.2016 3:00;9.3;79;
01.06.2016 0:00;13.8;45;
31.05.2016 21:00;17.6;38;
31.05.2016 18:00;20.9;29;
31.05.2016 15:00;22.4;27;
31.05.2016 12:00;22;33;
31.05.2016 9:00;18.9;45;
31.05.2016 6:00;15.7;58;
31.05.2016 3:00;16.6;62;
31.05.2016 0:00;18.5;54;
30.05.2016 21:00;22;39;
30.05.2016 18:00;24.4;37;
30.05.2016 15:00;25.7;33;
30.05.2016 12:00;25.4;34;
30.05.2016 9:00;22.2;55;
30.05.2016 6:00;16.8;84;
30.05.2016 3:00;16.2;85;
30.05.2016 0:00;19.1;71;
29.05.2016 21:00;22.4;60;
29.05.2016 18:00;25.2;49;
29.05.2016 15:00;24.4;54;
29.05.2016 12:00;24.4;57;
29.05.2016 9:00;18.9;79;
29.05.2016 6:00;17;88;3
29.05.2016 3:00;17.5;82;
29.05.2016 0:00;19.8;71;
28.05.2016 21:00;22.1;62;3
28.05.2016 18:00;25.1;41;
28.05.2016 15:00;26;38;
28.05.2016 12:00;25.5;42;
28.05.2016 9:00;22.1;58;
28.05.2016 6:00;17.2;75;
28.05.2016 3:00;16.1;79;
28.05.2016 0:00;19.3;67;
27.05.2016 21:00;20.9;61;
27.05.2016 18:00;25.3;34;
27.05.2016 15:00;25.1;38;
27.05.2016 12:00;25.4;39;
