DateTime,ALBEDO_1_1_1,APAR_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,P_1_1_1,RH_1_1_1,SHF_1_1_1,SHF_1_1_2,SHF_1_1_3,SWC_1_1_1,SWC_1_1_2,SWC_1_1_3,SWC_1_1_4,SWC_1_1_5,SWC_1_1_6,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4,TS_1_1_5,TS_1_1_6,time
yyyy-mm-dd HH:MM:SS,%,umol/m^2/s,W/m^2,W/m^2,W/m^2,umol/m^2/s,m,%,W/m^2,W/m^2,W/m^2,%,%,%,%,%,%,W/m^2,W/m^2,deg C,deg C,deg C,deg C,deg C,deg C,deg C,seconds since 1970-01-01 00:00:00.0
2023-06-10 19:30,0.216123,3.55245,-74.598,6.23102,-23.7216,118.415,0.0,38.0984,--,-31.9207,24.4956,32.3677,--,34.4375,41.8582,35.1825,36.9833,72.9221,15.8148,14.199000000000012,20.555999999999983,--,19.52600000000001,17.598000000000013,15.495000000000005,15.08200000000005,1686425400.0
2023-06-10 20:00,0.22596599999999997,3.10289,-95.5124,3.18206,-52.5154,103.43,0.0,36.3992,--,-37.8657,28.9537,32.2855,--,34.4382,41.8775,35.1017,36.967,59.6726,13.4936,13.848000000000013,20.186000000000035,--,19.53400000000005,17.644000000000062,14.340000000000032,13.920999999999992,1686427200.0
2023-06-10 20:30,0.258301,1.95252,-108.025,0.722002,-82.7392,65.084,0.0,38.1249,--,-44.8551,37.9735,32.203,--,34.4475,41.884,35.0233,36.9512,34.855,8.84699,13.649000000000058,19.812000000000012,--,19.52000000000004,17.687999999999988,13.625,13.253000000000043,1686429000.0
2023-06-10 21:00,0.38104099999999996,0.9189700000000001,-107.633,-0.883091,-96.7545,30.6323,0.0,38.3172,--,-47.4221,40.7482,32.1053,--,34.4372,41.89770000000001,34.9207,36.9538,15.473,5.47737,13.295000000000016,19.480000000000018,--,19.48599999999999,17.72800000000001,12.760000000000048,12.422000000000025,1686430800.0
2023-06-10 21:30,--,0.228379,-101.904,-1.61503,-100.66799999999999,7.61262,0.0,39.047,--,-47.1227,40.301,32.0073,--,34.4327,41.900200000000005,34.8193,36.922,2.59835,2.97775,12.948000000000036,19.13100000000003,--,19.439999999999998,17.757000000000005,12.12299999999999,11.837000000000046,1686432600.0
2023-06-10 22:00,--,0.0266528,-98.9534,-1.9145599999999998,-98.8823,0.8884270000000001,0.0,39.6804,--,-47.3956,41.3744,31.9275,--,34.427800000000005,41.8932,34.7155,36.93280000000001,0.0,1.84338,12.564999999999998,18.802999999999997,--,19.369000000000028,17.79400000000004,11.587000000000046,11.355000000000018,1686434400.0
2023-06-10 22:30,--,0.00371029,-100.60799999999999,-2.3225599999999997,-99.7033,0.123676,0.0,40.2962,--,-46.4747,40.0672,31.834699999999998,--,34.410999999999994,41.91819999999999,34.619499999999995,36.9293,0.0,1.41819,12.133000000000038,18.456000000000017,--,19.28400000000005,17.81600000000003,11.129000000000019,10.94500000000005,1686436200.0
2023-06-10 23:00,--,0.00227168,-97.0418,-2.10288,-96.1883,0.0757228,0.0,42.528,--,-45.6268,39.1905,31.750500000000002,--,34.3943,41.9248,34.5192,36.905300000000004,0.0,1.24934,11.604000000000042,18.069000000000017,--,19.189999999999998,17.835000000000036,10.700000000000045,10.552000000000021,1686438000.0
2023-06-10 23:30,--,0.0022719,-97.0914,-1.95775,-96.4328,0.07572999999999999,0.0,41.8927,--,-45.2996,39.0267,31.6695,--,34.3745,41.915699999999994,34.422,36.912299999999995,0.0,1.2992299999999999,11.211000000000013,17.701000000000022,--,19.077000000000055,17.847000000000037,10.32000000000005,10.180999999999983,1686439800.0
2023-06-11 00:00,--,0.0022343,-94.9348,-2.10422,-94.0236,0.07447680000000001,0.0,42.1056,--,-43.785,37.3377,31.5927,--,34.346199999999996,41.916000000000004,34.329,36.865700000000004,0.0,1.19305,10.915999999999997,17.327000000000055,--,18.956000000000017,17.848000000000013,10.037000000000035,9.927999999999997,1686441600.0
